地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,人口数（万）,每10万人确诊
纳米比亚,13,16,0,3,-1,2898,1
马拉维,14,16,0,-1,2,139,0
尼泊尔,15,16,0,1,-1,17.6,0
斯威士兰,8,16,1,8,-1,225,1
圣卢西亚,14,15,0,1,-1,5.7,9
博茨瓦纳,14,15,2,-1,1,17.6,1
圣克里斯托弗和尼维斯,14,14,0,-1,-1,11.2,25
荷属安的列斯群岛,3,14,0,10,1,16,8
格林纳达,14,14,0,-1,-1,11,13
马里亚纳群岛,11,13,0,-1,2,474,8
圣文森特岛,11,12,0,1,-1,3.5,11
中非,8,12,1,4,-1,9.6,0
特克斯和凯科斯群岛,10,11,0,-1,1,1.3,32
塞舌尔,11,11,0,-1,-1,7.6,11
蒙特塞拉特岛,10,11,0,1,-1,0.3,85
格陵兰岛,0,11,0,11,-1,59.7,14
福克兰群岛,10,11,0,1,-1,210,376
苏里南,3,10,0,6,1,615,2
冈比亚,6,9,0,2,1,0.1,0
尼加拉瓜,4,9,0,4,1,808,0
梵蒂冈,6,8,0,2,-1,450,1000
巴布亚新几内亚,7,7,0,-1,-1,0.5,0
毛里塔尼亚,4,7,0,2,1,1086,0
圣巴泰勒米岛,2,6,0,4,-1,75.4,119
布隆迪,4,5,0,-1,1,3.1,0
不丹,3,5,0,2,-1,1253,1
维尔京群岛,2,4,0,2,-1,20.4,13
南苏丹,4,4,0,-1,-1,1.5,0
圣多美和普林西比,4,4,0,-1,-1,-1,2
