地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡
拉脱维亚,279,280,36,1,-
斯洛伐克,262,269,43,7,-
哥斯达黎加,259,263,32,2,2
安道尔,261,263,43,1,1
乌拉圭,232,238,21,6,-
科威特,171,235,10,64,-
约旦,233,235,23,1,1
波斯尼亚和黑塞哥维那,221,230,39,5,4
突尼斯,221,227,30,-,6
圣马力诺,193,218,10,4,21
北马其顿,195,201,24,3,3
摩尔多瓦,189,199,22,9,1
阿尔巴尼亚,179,197,12,10,8
哈萨克斯坦,186,191,10,4,1
布基纳法索,159,180,28,12,9
越南,153,174,5,21,-
阿塞拜疆,147,165,43,15,3
塞浦路斯,154,162,16,3,5
阿曼,129,152,21,23,-
法罗群岛,140,140,28,-,-
加纳,131,137,1,2,4
马耳他,132,134,5,2,-
塞内加尔,112,130,11,18,-
文莱,94,120,5,25,1
斯里兰卡,104,110,4,6,-
阿富汗,106,110,15,-,4
委内瑞拉,106,107,1,-,1
乌兹别克斯坦,102,104,16,-,2
科特迪瓦,98,101,5,3,-
柬埔寨,87,98,2,11,-
喀麦隆,90,94,6,2,2
毛里求斯,92,94,13,-,2
留尼汪岛,94,94,0,-,-
白俄罗斯,57,86,5,29,-
格鲁吉亚,71,85,4,14,-
巴勒斯坦,66,84,20,17,1
尼日利亚,77,81,16,3,1
瓜德罗普岛,76,76,0,-,-
黑山,74,75,6,-,1
洪都拉斯,67,68,16,-,1
古巴,65,67,0,-,2
马提尼克,65,66,0,-,1
特立尼达和多巴哥,64,65,0,-,1
玻利维亚,61,61,0,-,-
列支敦士登,60,60,0,-,-
刚果,50,58,4,3,5
卢旺达,54,54,4,-,-
波多黎各,49,51,0,-,2
孟加拉国,40,48,4,5,3
吉尔吉斯斯坦,44,44,0,-,-
摩纳哥,41,42,9,1,-
巴拉圭,38,41,4,-,3
关岛,36,37,0,-,1
马约特岛,35,35,0,-,-
肯尼亚,29,31,3,1,1
根西岛,30,30,0,-,-
赞比亚,28,28,6,-,-
法属圭亚那,27,28,0,-,1
马达加斯加,26,26,2,-,-
危地马拉,24,25,0,-,1
牙买加,24,25,0,-,1
直布罗陀,25,25,0,-,-
多哥,24,24,0,-,-
乌干达,23,23,5,-,-
马恩岛,23,23,0,-,-
刚果,19,19,15,-,-
阿鲁巴岛,19,19,0,-,-
马里,18,18,7,-,-
萨尔瓦多,18,18,0,-,-
巴巴多斯,18,18,0,-,-
泽西岛,18,18,0,-,-
维尔京群岛,17,17,0,-,-
埃塞俄比亚,16,16,4,-,-
法属波里尼西亚,15,15,0,-,-
坦桑尼亚,13,14,0,1,-
吉布提,14,14,2,-,-
新喀里多尼亚群岛,14,14,0,-,-
赤道几内亚,13,13,1,-,-
马尔代夫,13,13,0,-,-
蒙古,12,12,1,-,-
圣马丁岛,11,11,0,-,-
缅甸,8,8,3,-,-
纳米比亚,8,8,1,-,-
斯威士兰,8,8,3,-,-
尼日尔,7,8,1,-,1
津巴布韦,6,7,2,-,1
莫桑比克,7,7,2,-,-
中非,6,6,1,-,-
厄立特里亚,6,6,2,-,-
格陵兰岛,6,6,2,-,-
老挝,6,6,3,-,-
苏丹,4,5,2,-,1
尼泊尔,4,5,1,1,-
佛得角,4,5,0,-,1
叙利亚,5,5,4,-,-
加蓬,4,5,1,-,1
圭亚那,5,5,1,-,-
安哥拉,4,4,1,-,-
塞舌尔,4,4,2,-,-
索马里,3,3,1,-,-
毛里塔尼亚,3,3,1,-,-
冈比亚,2,3,1,-,1
乍得,3,3,2,-,-
利比里亚,3,3,1,-,-
几内亚比绍,2,2,2,-,-
圣卢西亚,2,2,0,-,-
尼加拉瓜,2,2,0,-,-
海地,2,2,0,-,-
苏里南,2,2,0,-,-
几内亚,2,2,1,-,-
利比亚,1,1,1,-,-
伯利兹,1,1,1,-,-
圣巴泰勒米岛,1,1,0,-,-
梵蒂冈,1,1,0,-,-
不丹,1,1,0,-,-
贝宁,1,1,1,-,-
巴哈马,1,1,1,-,-
圣文森特岛,1,1,1,-,-
安提瓜和巴布达,1,1,1,-,-
东帝汶,1,1,0,-,-
巴布亚新几内亚,1,1,0,-,-
斐济,1,1,1,-,-
