地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,死亡率,人口数（万）,每10万人确诊,万人确诊治愈死亡比,万人确诊死亡治愈比
哥斯达黎加,375,719,8,338,6,0.8%,500,14,1502.2222222222224,0.47337278106508873
尼日尔,235,719,4,452,32,4.5%,2150,3,601.063829787234,3.0126153266804745
斯里兰卡,507,671,31,157,7,1%,2100,3,442.3781346858269,0.8794080327642306
布基纳法索,96,645,3,506,43,6.7%,1919,3,1225.7751937984497,8.852108036890645
乌拉圭,209,643,5,417,17,2.6%,350,18,1173.6560652969324,1.950592635939096
索马里,542,601,54,31,28,4.7%,1518,4,20.426989984185557,16.664682775860015
危地马拉,517,599,28,66,16,2.7%,1658.2,4,79.78723404255318,4.689056913428287
圣马力诺,457,580,6,82,41,7.1%,3.2,1813,43.7636761487965,10.940919037199125
刚果,476,572,9,65,31,5.4%,8130,1,44.04987801572242,10.01939237233355
格鲁吉亚,376,566,22,184,6,1.1%,390,15,815.6028368794327,0.8672525439407955
马约特岛,300,539,79,235,4,0.7%,21.6,250,1958.3333333333333,0.5673758865248227
马里,329,490,58,135,26,5.3%,1951.7,3,157.82090250175358,5.853878194303727
马尔代夫,450,468,118,17,1,0.2%,44,106,377.77777777777777,1.30718954248366
马耳他,112,467,2,351,4,0.9%,40,117,7834.821428571429,1.0175010175010175
萨尔瓦多,290,424,18,124,10,2.4%,642,7,427.5862068965517,2.7808676307007785
牙买加,385,422,15,29,8,1.9%,284,15,94.15584415584415,7.16524854455889
肯尼亚,235,396,12,144,17,4.3%,5140,1,360.45056320400505,5.023640661938534
委内瑞拉,175,333,2,142,16,4.8%,3280,1,507.1428571428571,6.438631790744467
加蓬,206,276,38,67,3,1.1%,203,14,1084.1423948220063,2.17359802927112
巴拉圭,143,266,10,113,10,3.8%,705.3,4,790.2097902097903,6.188501763723003
马提尼克,82,179,3,83,14,7.8%,38,47,722.9965156794425,20.570085218924476
瓜德罗普岛,45,152,2,95,12,7.9%,40,38,1759.2592592592594,28.070175438596493
塞拉利昂,108,136,20,21,7,5.1%,760,2,277.77777777777777,30.864197530864196
法属圭亚那,29,128,1,98,1,0.8%,29,44,33793.10344827586,3.518648838845883
多哥,42,116,17,65,9,7.8%,425,3,1719.5767195767194,32.967032967032964
百慕大群岛,57,111,1,48,6,5.4%,6.5,170,1403.5087719298244,21.929824561403507
斯威士兰,89,100,29,10,1,1%,139,7,1123.5955056179776,11.235955056179776
开曼群岛,62,73,3,10,1,1.4%,6.4,114,1612.9032258064515,16.129032258064516
圣多美和普林西比,11,16,6,4,1,6.3%,20.4,8,3636.3636363636365,227.27272727272728
冈比亚,3,12,1,8,1,8.3%,210,1,26666.666666666664,416.66666666666663
